text,label
叶 氵 昆,0
再见 过去,0
妈 的 时间 别跑,1
归零,0
SB,1
智障 人,1
夜长梦多,0
小 庞友,0
看不清 未来 回 不到 过去,0
小林 和 幸,0
且 行且 珍惜,0
凇,0
汽车 影音 导航 电子 唐 正中,0
吴英川,0
长,0
thienti sb,1
中村诚,0
刘子扬,0
木头人,0
嬜,0
董先生,0
纪国 佳佳,0
承诺,0
可爱 的 小猪 佩奇,0
怜香惜玉,0
坏人 的 王子,0
徐伯村,0
十八,0
金 龙哥,0
娟子,0
羊羊,0
一帆风顺,0
磊 吖,0
简得晋,0
我 的 远方 没有 客栈,0
院长,0
时光 浮夸 乱 了 遍地 流 年,0
滚 那 吗 瘟 比,1
不 破产 好 不,0
好好 睡觉,0
等 个旧 人,0
苟 华文,0
刘鹏,0
吉田 恵,0
铃木 一村,0
郑绍 飞,0
FUCK YOU,1
郎峰,0
月亮,0
桔子皮,0
起点,0
生 伝 説,0
文,0
Sb No Peal,1
城西,0
叶明,0
天行健,0
祥 徐,0
前方,0
干 你 老娘,1
陈建村,0
美丑 不过 皮,0
佐一凡,0
坑 玩 就 卸载 草泥马,1
男主,0
我们 在 改变,0
余生 都 是 你,0
正 能量 代言人,0
朗 诗 专业 烫染,0
烟酒 不 分家,0
小五哥,0
秀芬 黄,0
可有可无,0
最后 的 拥抱,0
于浩月,0
人生 百态,0
深圳市 合 信石 业 刘,0
赌神,0
谭明 诗,0
李永学,0
鱼子酱 丶,0
宫廷 小饺,0
做个 俗人,0
沧清 设计 事务所,0
卟 太,0
小琪 吖,0
蔡绍寅,0
卒,0
暖城,0
归途,0
凤德,0
话 说 是 李杰,0
今宵 酒醉 何处,0
只 想见 你 一面,0
都 不 值得 你 屈就,0
化妆师,0
中井俊,0
别 Tmd,1
善意 的 谎言,0
你 大爷 的 几下,1
余温,0
坂本,0
糖果 爸,0
爱 丝纺 养发馆 老师 杰西,0
十年 浮夸 成 孤独 患者,0
胖墩,0
阿 国,0
干 你 大爷,1
郭亦展,0
松浦,0
橘一志,0
大瓜,0
变发,0
小叮当,0
高 波波,0
臭臭,0
西门 街阿晨,0
杨 金华,0
伤心 的 泪,0
李佳欣,0
赵艳秋,0
滚 你 二爷,1
廖邑诚,0
七 克拉 医美 整形 整容 医师,0
万般 皆 是 命,0
操操 操操 馬 逼,1
君,0
俗人,0
璐 璐 家酷 狗,0
小芳姐,0
海,0
达 达,0
善恶,0
谜试 的 自己,0
千年 守候,0
王 永镇,0
善恶 都 是 孙小浩,0
出来,0
这 是 我 啊,0
小少爷,0
佐佐佑佑,0
髯 刺青,0
贪恋 你 的 双眸,0
刘东凯,0
平安 是 福,0
山佬,0
刘忠庆,0
催眠,0
他妈 D,1
家宝,0
英国 卓越 旅游,0
爱 你 不是 说 说 而已,0
豪,0
黑 马驹子,0
逼样,1
剩者,0
哎 咿呀,0
黄 锕 宝,0
足球 老子,0
敏豆,0
阿钦,0
王 桂树,0
少年 已 不 年少,0
一刻 暧昧,0
删除 记忆,0
高岩,0
扑球 嘿色,0
峰哥 无敌 了,0
蔡 麻烦,0
莫忘,0
陈先生,0
严伟,0
方建智,0
晴天 小 垃圾,0
阿六 克斯,0
蕾 蕾,0
目标 很 渺茫,0
先生,0
陈皇名,0
一生 有 你,0
Fuck u,1
