word,label
"香港人難過,那澳門人呢?說澳門人過很爽的,肯定不是澳門人",0
一國兩制才是主流民意?禮義廉恥去重讀好嗎,0
安佐在美國的火力應該>一個營區吧?我們以前一個營區二三十人編制的補庫都有50機槍了,0
"天氣很熱帶女生回家也不能先洗澡嗎?女生會想,你是不是想人家",0
衛服布跟國防布哪一種遮光效果比較好?國防部你還知道范佐憲衛服布,0
"看到自己家的蟑螂長大,是不是很欣慰?增生很快的喔…兩週後出現卵鞘就更",0
"一休為什麼後來沒有獲得將軍的賞識?因為只會團購,還有吃滷味牛排可以減肥",0
如果因為機捷趕不上飛機?市區報到3小時前班機主要是防這種人,0
"躁鬱症的人狂打電話時在想什麼?你可以去找專門書來看,他們蠻可憐的",0
有電影台重播率最高的是哪一部電影呢?東森哈利波特台,0
"胖丁之歌歌詞改成姆咪是不是更好聽?敢跟我大胖丁教爭鋒?,滾!",0
小時候的夢想?沒有夢想和鹹魚有什麼分別,0
有沒有隊名怎麼取的八卦?姆咪姆咪心動動,0
"士林中正路發生了什麼事?我家住附近耶,我都不知道",0
"大陸人都不買淘寶?中國人啦,",0
"欸,老外484真的需要人幫擦屁股?台女會主動去幫擦屁股",0
我已經跳了三天三夜?去大丸逛神奇寶貝中心,0
不會游泳很奇怪嗎?旱鴨子經過,0
覺青會穿印有簡體字的Superdry嗎?國民黨支持者穿由你褲應該要槍斃而且公告叛國,0
燒餅貼在爐子裡為什麼不會掉下來?你不知道?,0
"太陽花一代戰將幾歲從政比較適合?都被看破手腳了,哪裡來的票?",0
有沒有運動少了什麼東西會很奇怪?我看的運動都沒有人器材會自己動耶,0
EMP電磁脈衝會把比特幣全部歸零嗎?你先擔心你的台幣帳戶和台股歸零,0
"有沒有突然交不到女友的八卦?你約到軟體吧,手機要開著不然當然沒聲音啊",0
"有知足才是人生的八卦嗎?知足跟受人欺負,被奴役剝削要如何區分",0
"刻意學英國腔的人是什麼心態?可以溝通才是主要,英國人跟美國人講話照用英腔,美",0
種棉花的毛利大概多少?用尼哥奴才會賺,0
蘇花是在塞三小?台北的後花園,0
"中華奧會乾脆分成好幾個奧會?就是因為你不加入中國,不然中國起手四票",0
"台灣的吉祥物是什麼?2019年的吉祥物是辣台妹,2020還不知道",0
有沒有衝車將軍的八卦?丁丁真的輸不起,0
"物理m理論有多難?首先,先學會群論(?)",0
"有沒有其實八卦版鄉民很可愛的卦?跟林爸一樣可愛阿,林爸演講時會一直罵髒話",0
"我是黨工,下一步該怎麼辦?不要放棄專業專長當個機要秘書吧",0
"被討厭的勇氣?每次都不騎腳踏車上學,明明家就住蠻遠的,小",0
肥宅開吃到飽有搞頭嗎?房租、地點呢?,0
"怎會有動人旋律在對面的屋頂?我悄悄關上門,把你們踹下去",0
座位隔壁的狗很臭怎麼辦?衣領拉開聞自己壓壓驚,0
"死一個宅男可以撈多少錢?你之後會遇到一個管家阿北,他很強",0
古代馬雅真的有羽射手鷹勇士嗎?嗯?484很想釣啊?,0
"台中是不是全台灣開車最有禮貌的地方?看到黑頭車就縮惹,不想吃慶記",0
"當兵遇到少將叫學長好,會被罵嗎?我一兵有次叫上尉人官叫學姐……超丟臉",0
打籃球遇到五位黑人怎麼辦?爭不到運動獎學金,0
男森要怎麼保護自己?學印度男人,0
"為什麼國際品牌到台灣價錢都翻倍跳?台灣人=盤阿,明明都是中國製,日本價錢還",0
"100P玩彩券怎玩到小富?都給我,等喔變成首富就給你分行",0
"為何同樣是壓頭,子瑜就推,一芳就噓?因為台灣常被這樣摸頭習慣了,但一芳",0
"台南Josh算是YT界的清流嗎?,搞到棒球版一堆嗨嗨",0
麵屋虎匠?還有照相先對焦好嗎,0
"我在公車上按性騷擾電鈴,司機卻很冷漠?你都說按錯了,要撲誰?沒揍你就很好了",0
"女王蜂是怎麼挑選繼承人的?用抽籤的阿,小學沒教?",0
"肥宅要怎樣才能變型男?認真講,別說型不型,先減肥",0
台灣哪裡可以看落紅♥?mod之前有撥呀!基本上是一部好電影,0
世界末日是持續的還是一瞬間?持續的~在20世紀末就已經開始世界末日審判了,0
"今天是妙禪師父勞斯萊斯入座滿一周年?感恩,師父,讚嘆,師父",0
"廣告行銷業算不算很賽的產業?要一直有新點子出來,感覺很傷腦",0
"NTD5000只夠付AA的錢怎麼辦?叫她跪下來吃妳屌,然後你吃飯",0
"筆電鏡頭到底要用甚麼遮啦?用這種便利貼啦,超好用,偶爾會掉",0
保險業所謂的服務是?遇到客戶問問題不用服務喔?,0
"高考錄取4什麼感覺啊?他有工作,而你持續無業,大概是這樣",0
小三真的比較好吃嗎?吃不到的最..,0
"知X王會不會下地獄?五胡亂華是哪五胡,再給你一次機會好好回答",0
臺北哪裡可以打麻將?明星三缺一,0
PTT如果關站會對台灣造成什麼衝擊?卡管有造成台灣任何的衝擊嗎?,0
"哦,可惜愛不是幾滴眼淚幾封情書,哦?的有故事的人",0
"女生不坐我旁邊?有時搭捷運,明明空位還很多,妹子卻都坐我正對面",0
為何報紙都要那麼大張?流浪漢比較好用,0
要怎麼擴展自己的人脈?先出名明天去台北車站裸奔,0
"主機板跟樂高哪個比較恐怖?樂高算很圓潤了吧,主機板跪了是會出血的",0
"算命師恐嚇取財詐欺的八卦?天擇,會被騙的呵呵",0
"跟失戀的朋友去夜店要聊什麼?去夜店嘛都貼妹,聊什麼天",0
"成龍跟邱主任一起拍警察故事會如果?張曼玉那角色真的可有可無阿,只有被欺負的份",0
"在公車站看到螃蟹怎麼辦?倒熱水下去,撒點蔥花,切點薑",0
"逛潘家園需要注意什麼?中國製造的別買,質量差",0
"快樂崇拜算8年級神曲嗎?7年級尾,8年級頭,range75~85",0
"是怎樣的潘仔會一直買The,Sims4,DLC?上萬塊還好吧,課長隨便課也超過",0
我愛你中國的車子?中華民）國,0
撿到喇牙要怎麼辦?小強殺手耶~上網賣又要賺一筆囉!呵呵,0
有沒有低素質老外的八卦?台灣人更多好嗎,0
肥宅這個時段是不是最沒空噓文?這時間真的很忙,0
"沒有6/4的國家?6/3有48小時,你文組?",0
為什麼小黃等紅燈要跳錢?問交通部長黑龍啊,0
有沒有亞洲女兒黃靖茹的八卦?聽都沒聽過,0
藍芽耳機玩電腦音game?有些遊戲裡面可以讓你調整同步,0
"知道租屋處路由器帳密可以嘛?玩電腦不會使人暴力,LAG才會",0
三年沒讀書考的上醫科嗎?準備錢去波蘭或中國不是快很多嗎,0
"必勝客外帶選擇取餐時間?還好沒了,必勝客的薄片很難吃,薄脆要吃達美樂的",0
"為啥中國人那麼愛吃辣?有人跟我說過,東西很難吃的話加辣就對了",0
有沒有三屆奧運銀牌的八卦?王皓是太有教練愛不然早被下放了,0
大麥克家人不吃怎麼辦?丟FB的剩食社團阿,0
"小鳥走路都會點頭的八卦?可愛好嗎,勸你鼻要嗆小鳥ㄛ,我要森7ㄌㄛ",0
怎樣控制排便時間?想大便的時候叫男友用肉棒塞回去,0
這男的把郵局當他家?你的連結好差XD,0
改管噪音車怎不罰車主聽自己管聲?那些人都聾子吧,0
吃早餐發現筷子拿錯邊會換過來還是繼續吃?我都用手抓的,0
"姓張的可以說是誰的第幾代孫子?說得好,我張舟亢",0
大家還記得覽趴震嗎?懶趴震完換肥宅震,0
想問為什麼那女孩傳簡訊給我?我懷念的是妳緊實的穴,0
錢太多反而不想要錢?錢太多才會明白自己要的都是錢買不到的,0
愛莉莎莎大部分粉絲是男多還是女多?引夢貘人使用精神精神強念,0
武藤遊戲其實打撲克牌?其實一開始是什麼都玩的,0
軟體業在鬼島低薪?中年失業惹,0
演同志色情片的0號演員都在想什麼?開關被打開惹,0
"人要發大財,是不是道理很簡單?賣什麼東西是重點啊!難道賣靠邀也是嗎?",0
"Wed,Aug,29,15:10:55,2018?這麼菜還想表達意見喔",0
"為何PS4,pro還買不到?新光華商場看到一堆耶",0
"有沒有cosplayer好偏激的八卦?一堆coser都是公主龍,超臭的,肥宅還舔的下去",0
"戰爭爆發健保無效還要繳健保費嗎?戰爭爆發,能跑的醫生都跑出國了好嗎",0
"三大電信哪個最好用?遠傳,但我希望大家都去台灣大跟中華",0
喪屍題材電影怎麼變少了?好想看喪屍片啊啊,0
"替代役有多辛苦?分到鬼地方,被公務員當狗再說",0
"哈根達斯跟小美冰淇淋盲測的出來嗎?認真覺得哈根的香草不怎麼樣,不過絕對還是屌打小美",0
乃木坂是不是日本最正女團?IZ是韓團好嗎,0
"看三國演義對邏輯訓練有幫助嗎?在台灣沒用,別人會笑你文組啦",0
現在在戶外烤肉會熟嗎?人躺在地上就開始滴油了,0
"國文課本最廢的文章是那一個?國中國文有一課是國歌歌詞,也很廢",0
神鬼奇航怎麼不在台灣海峽取景?那影片就想吐了,0
養貓的都有心裡變態的risk?開戰囉!,0
宅男要怎樣逛大阪日本橋(線上等)?明明超好逛,0
懶叫算髒話或不雅文字嗎?不算不過如果說人長得像懶覺的話.恩,0
上班充斥小人同事?你的能力只能跟這些人共事啊,0
士農工商是要照什麼排的?依公司組成順序:管理、創造、加工、流通,0
"江宜樺?口說台灣真好,卻要把台灣送給中國!",0
"airwxxk超大蠢背包?用它來裝筆電不錯用,但加電源.散熱板.滑鼠後其實",0
有沒有日本娃娃的卦?有種想射在臉上的感覺,0
"香港人這次484豁出去了?痛癢的保障條款,帶一下風向,大家就好回家了",0
"台灣鄉下到底比較開放還是比較保守?外表保守內心開放,甘蔗園是好地方",0
我有個偉大的發明構想?做個影片就可以去募款網站騙錢了,0
徹底解決電梯墜落的方法的掛?為什麼不用電磁鐵就好了.,0
"有沒有真正是韓粉的網紅?人家都電視台支持了,還yt",0
有沒有台北捷運博愛座的八卦?叫你媽用她的1500看能不能找到人幫忙照顧外,0
在美國生活真的會改變一個人的個性嗎?環境一定會影響人的性格,0
"如果辦抱女人大賽,誰會得冠軍?抱得動大菊為重的人",0
現在還有可能證明1969年登月的真偽嗎?除了13都有登陸好嗎,0
"那英憑什麼壓軸?人來串場,顯示台灣有氣度",0
高中男生不知道怎麼打手槍的比例?有一些啦可是自從某部電影上映後大概就變0了吧,0
為何一名優秀普妹怎麼努力都贏不過正妹?台灣就算普妹也一堆人追,0
"要現在吃還是等早餐?現在也有賣早餐的吧,還是你要吃什麼特別的",0
"買蘋果手機就是支持國貨正確嗎?我有說過支持GG壓,一堆人說人家拿分紅妳拿啥",0
"王國紀元真的很多人玩嗎?之前一堆戰女,現在王國紀元,囧",0
"失去妳,贏了一切卻依然如此冷清的八卦?公三小,",0
甘尼克斯別人老婆時在想啥?害我想第四刷了,0
"多重伴侶婚姻權?守一有說要帶他的小三去釋憲了,想要可以一起加油",0
繼光香香雞比較香還是正妹?貴得要死又沒特別好吃不知道都誰在買,0
