0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
為,什麼,這種,事會,發生,在,我,身上,?,太臭,",",請,自覺,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
哪裡,有央視,春晚,?,雖然,是,四天,連假,~,但是,遠,不到,春節,的,感覺,吧,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
更新,／,機師,罷工傳,79,人拿回,檢定證,復,工,<pad>,華航員工,?,越來,越多人,覺醒,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
子瑜,♥,說,",",我,一個,人撐,一把,雨傘,★,?,志效,老公,笑,而,不語,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
性別,平等,會議,?,事實,阿,",",台灣,就業,對,女性,很,不,友善,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
妖精,尾巴,到底,有,沒,有,劇情,?,糞作,無誤,",",整部,都,同一,個,套路,",",屁孩,最,愛,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
常出國,的,老司,機請,進,?,找個,空姐,罵,一下,",",等,下,送,餐時,就,有,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
大家,為,自己,專業,開價,多少,?,大家,一直,認同,公道,價,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
鐵達尼號給,昆汀塔倫,提諾,翻拍,會,怎樣,?,前面,愛情片,",",後,面,莫名,出現,一堆,吸血鬼,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
彭于,晏算,大牌,嗎,?,沒什麼,好,說,ㄉ,",",就,4,帥,>,/,/,/,<,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
新北市,店面,租金,行情,大概,是,多少,啊,?,給個,城市,名稱,吧,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
水水想,知道,貞德,的,八卦,?,燒了,熱熱,吃,",",聖潔,的,味道,痕豪,吃,喔,",",尼,也,吃,看看,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
咿呀,!,被,逼,玩,SM,",",?,這又,哪部,啦,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
SMAP,解散,後,",",嵐,就,變傑,尼斯,最紅,的,團體,了,嗎,?,不,能否,認嵐,超紅,啊,",",雖然,我,也,不,知道,到底,在,超紅三小,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
為,什麼,高雄,這麼,好,卻,還是,留不住,年,輕人,?,高雄,是,有,錢,人,的,宜居城市,",",家裡,沒,錢,的,只能,遠,走,他,鄉,了,<pad>,<pad>,<pad>,<pad>,<pad>
台灣,行人,要,讓,車子,?,影片,裡,可以,告,那台,車子,肇事,逃逸,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
三星,",",電池,價格,差異,?,賣,的,價錢,已經,是,信仰,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
空投,幾,隻,喪屍,可以,毀滅,一個,國家,?,空投,ㄧ,些,中國人,",",房價,就,毀滅,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
請,問有,沒有,異性,戀,的,想法,跟,我,一樣,?,不想,結婚,就,別結,啊,",",法律,有,逼,你,喔,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
當,初高中,畢業,直接,考國考,的,現,在,在,嘛,?,沒掛,啦,",",很多,老一輩,欠,好看,學歷,的,會,再,進修,啦,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
最強,歌姬,的,八卦,?,那英,不是,台灣,的,吧,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
數字代號,求解,?,直接,對數,字,這麼,難,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
整個,世界,都,是,假,的,?,紅藥,丸,",",藍藥,丸,",",自己,選一個,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
核四,沒,燃料,棒,還留,著,嘛,?,只能,尿,尿,就,很,重要,了,好,嗎,!,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
挪威,是,世界,天龍國,嗎,?,歐洲,國家,真的,沒,啥,是,落,後,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
讀學店,是,什麼,感覺,?,刺激,der,大學,生活,",",每天,有數,不,完,的,正妹,可以,＿,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
八嘎,囧,被,說,是,八嘎,囧,的,時候,是,什麼,感覺,?,跟,我,被,說,金城武,一樣,的,感覺,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
一開門,看到,室友,在,尻,槍,",",該,如何,化解,尷尬,?,幫,他,把,風,",",有人,想,進去,就,說,有人,在,裡面,尻,槍,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
排骨,好用,的,原因,?,這我,知道,",",大概,是,這樣,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
老人,身體,健康,很困,難,嗎,?,台灣,的,腸癌,率,世界,第一,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
